Orthogroup	Cluster
OG0000008	1
OG0000181	1
OG0000000	1
OG0000041	1
OG0000015	1
OG0000034	1
OG0000040	1
OG0000066	1
OG0000121	1
OG0000077	1
OG0000139	1
OG0000010	1
OG0000117	1
OG0000044	1
OG0000193	1
OG0000435	1
OG0000009	1
OG0000024	1
OG0000269	1
OG0000165	1
OG0000140	1
OG0000156	1
OG0000135	1
OG0000367	1
OG0000119	1
OG0000163	1
OG0000039	1
OG0000418	1
OG0000419	1
OG0002567	1
OG0002955	1
OG0002960	1
OG0000001	1
OG0000224	1
OG0000240	1
OG0000243	1
OG0000272	1
OG0000084	1
OG0000122	1
OG0000185	1
OG0000228	1
OG0000608	1
OG0000628	1
OG0000679	1
OG0003938	1
OG0000342	1
OG0000113	1
OG0000216	1
OG0000380	1
OG0000846	1
OG0002956	1
OG0000368	1
OG0000503	1
OG0000283	1
OG0000524	1
OG0000539	1
OG0000980	1
OG0000124	1
OG0000223	1
OG0000484	1
OG0000033	1
OG0000309	1
OG0000716	1
OG0006096	1
OG0006102	1
OG0000150	1
OG0000341	1
OG0000365	1
OG0000016	1
OG0000103	1
OG0000366	1
OG0006920	1
OG0006921	1
OG0000375	1
OG0000391	1
OG0000656	1
OG0000743	1
OG0001049	1
OG0001689	1
OG0003935	1
OG0005333	1
OG0007709	1
OG0007716	1
OG0007717	1
OG0007722	1
OG0007726	1
OG0007727	1
OG0007732	1
OG0007739	1
OG0007741	1
OG0000018	1
OG0000048	1
OG0000562	1
OG0000629	1
OG0000811	1
OG0001221	1
OG0001258	1
OG0001821	1
OG0001891	1
OG0001954	1
OG0000109	1
OG0000301	1
OG0000829	1
OG0000142	1
OG0000177	1
OG0000179	1
OG0000198	1
OG0000915	1
OG0000127	1
OG0000167	1
OG0000295	1
OG0000415	1
OG0000428	1
OG0000463	1
OG0000485	1
OG0000499	1
OG0000505	1
OG0000541	1
OG0000637	1
OG0000658	1
OG0000821	1
OG0000825	1
OG0000835	1
OG0000854	1
OG0000896	1
OG0000933	1
OG0000939	1
OG0000946	1
OG0000965	1
OG0000997	1
OG0001026	1
OG0001031	1
OG0001043	1
OG0001055	1
OG0001071	1
OG0001084	1
OG0001092	1
OG0001094	1
OG0001123	1
OG0001130	1
OG0001170	1
OG0001205	1
OG0001207	1
OG0001249	1
OG0001332	1
OG0001344	1
OG0001431	1
OG0001435	1
OG0001462	1
OG0001503	1
OG0001526	1
OG0001578	1
OG0001651	1
OG0001835	1
OG0001840	1
OG0001885	1
OG0002127	1
OG0002219	1
OG0002441	1
OG0002957	1
OG0003308	1
OG0003937	1
OG0007730	1
OG0007733	1
OG0008553	1
OG0008555	1
OG0000131	2
OG0000004	2
OG0000215	2
OG0000246	2
OG0000161	2
OG0000727	2
OG0000148	2
OG0001293	2
OG0001066	2
OG0000029	2
OG0000238	2
OG0000250	2
OG0000017	2
OG0001096	2
OG0003081	2
OG0000322	2
OG0000370	2
OG0000281	2
OG0000652	2
OG0000726	2
OG0000785	2
OG0001606	2
OG0003004	2
OG0004713	2
OG0000337	2
OG0003028	2
OG0000248	2
OG0001427	2
OG0005491	2
OG0003025	2
OG0004662	2
OG0000014	2
OG0000027	2
OG0000469	2
OG0001803	2
OG0004668	2
OG0004709	2
OG0006478	2
OG0000072	2
OG0000081	2
OG0000112	2
OG0000186	2
OG0000615	2
OG0000291	2
OG0006994	2
OG0007365	2
OG0007421	2
OG0000030	2
OG0000087	2
OG0000944	2
OG0005023	2
OG0006200	2
OG0000200	2
OG0000409	2
OG0002001	2
OG0003166	2
OG0000145	2
OG0000092	2
OG0000057	3
OG0000162	3
OG0000055	3
OG0000060	3
OG0000042	3
OG0000191	3
OG0001956	4
OG0000006	4
OG0000180	4
OG0000207	4
OG0000032	4
OG0000659	4
OG0000979	4
OG0000584	4
OG0000993	4
OG0007690	4
OG0000646	4
OG0001583	4
OG0008484	4
OG0008489	4
OG0000102	4
OG0000075	5
OG0000202	5
OG0000013	5
OG0000035	5
OG0000082	5
