HOG	OG	Gene Tree Parent Clade	B_leachii	B_schlosseri	B_violaceus	C_savignyi	H_aurantiun	H_roretzi	M_occidentalis	M_oculata	O_dioica	P_fumigata	P_mammillata
N8.HOG0000000	OG0000000	n5	0	2	0	0	0	0	0	0	0	0	0
N8.HOG0000001	OG0000000	n7	1	1	0	0	0	0	0	0	0	0	0
N8.HOG0000002	OG0000000	n16	0	3	0	0	0	0	0	0	0	0	0
N8.HOG0000003	OG0000000	n22	1	2	0	0	0	0	0	0	0	0	0
N8.HOG0000004	OG0000000	n55	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000005	OG0000000	n60	1	2	1	0	0	0	0	0	0	0	0
N8.HOG0000006	OG0000000	n63	1	1	2	0	0	0	0	0	0	0	0
N8.HOG0000007	OG0000000	n68	0	11	0	0	0	0	0	0	0	0	0
N8.HOG0000008	OG0000000	n81	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000009	OG0000000	n86	1	2	1	0	0	0	0	0	0	0	0
N8.HOG0000010	OG0000000	n96	1	1	1	0	0	0	0	0	0	0	0
N8.HOG0000011	OG0000000	n108	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000012	OG0000000	n113	1	1	2	0	0	0	0	0	0	0	0
N8.HOG0000013	OG0000000	n148	1	0	1	0	0	0	0	0	0	0	0
N8.HOG0000014	OG0000000	n219	3	1	2	0	0	0	0	0	0	0	0
N8.HOG0000015	OG0000000	n224	10	1	0	0	0	0	0	0	0	0	0
N8.HOG0000016	OG0000000	n234	9	0	3	0	0	0	0	0	0	0	0
N8.HOG0000017	OG0000000	n245	3	0	0	0	0	0	0	0	0	0	0
N8.HOG0000018	OG0000000	n247	1	22	2	0	0	0	0	0	0	0	0
N8.HOG0000019	OG0000000	n272	1	1	0	0	0	0	0	0	0	0	0
N8.HOG0000020	OG0000000	n274	6	1	1	0	0	0	0	0	0	0	0
N8.HOG0000021	OG0000000	n282	4	0	0	0	0	0	0	0	0	0	0
N8.HOG0000022	OG0000000	n287	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000023	OG0000000	n289	0	1	1	0	0	0	0	0	0	0	0
N8.HOG0000024	OG0000000	n301	0	0	3	0	0	0	0	0	0	0	0
N8.HOG0000025	OG0000000	n337	2	1	1	0	0	0	0	0	0	0	0
N8.HOG0000026	OG0000000	n369	0	4	0	0	0	0	0	0	0	0	0
N8.HOG0000027	OG0000000	n377	5	0	0	0	0	0	0	0	0	0	0
N8.HOG0000028	OG0000000	n382	0	3	0	0	0	0	0	0	0	0	0
N8.HOG0000029	OG0000000	n385	1	1	0	0	0	0	0	0	0	0	0
N8.HOG0000030	OG0000000	n386	1	1	0	0	0	0	0	0	0	0	0
N8.HOG0000031	OG0000001	n4	1	0	1	0	0	0	0	0	0	0	0
N8.HOG0000032	OG0000001	n6	0	2	0	0	0	0	0	0	0	0	0
N8.HOG0000033	OG0000001	n9	1	1	0	0	0	0	0	0	0	0	0
N8.HOG0000034	OG0000001	n10	1	1	1	0	0	0	0	0	0	0	0
N8.HOG0000035	OG0000001	n15	1	2	0	0	0	0	0	0	0	0	0
N8.HOG0000036	OG0000001	n38	1	1	1	0	0	0	0	0	0	0	0
N8.HOG0000037	OG0000001	n130	1	1	1	0	0	0	0	0	0	0	0
N8.HOG0000038	OG0000001	n136	1	4	1	0	0	0	0	0	0	0	0
N8.HOG0000039	OG0000001	n143	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000040	OG0000001	n157	5	0	5	0	0	0	0	0	0	0	0
N8.HOG0000041	OG0000001	n172	1	1	1	0	0	0	0	0	0	0	0
N8.HOG0000042	OG0000001	n184	2	0	1	0	0	0	0	0	0	0	0
N8.HOG0000043	OG0000001	n233	0	6	0	0	0	0	0	0	0	0	0
N8.HOG0000044	OG0000001	n255	1	2	3	0	0	0	0	0	0	0	0
N8.HOG0000045	OG0000001	n278	3	2	2	0	0	0	0	0	0	0	0
N8.HOG0000046	OG0000001	n299	0	2	0	0	0	0	0	0	0	0	0
N8.HOG0000047	OG0000002	n0	0	262	0	0	0	0	0	0	0	0	0
N8.HOG0000048	OG0000003	n5	0	1	2	0	0	0	0	0	0	0	0
N8.HOG0000049	OG0000003	n22	0	4	0	0	0	0	0	0	0	0	0
N8.HOG0000050	OG0000003	n26	1	3	1	0	0	0	0	0	0	0	0
N8.HOG0000051	OG0000003	n30	0	1	3	0	0	0	0	0	0	0	0
N8.HOG0000052	OG0000003	n33	4	2	4	0	0	0	0	0	0	0	0
N8.HOG0000053	OG0000003	n42	0	2	0	0	0	0	0	0	0	0	0
N8.HOG0000054	OG0000003	n43	2	2	2	0	0	0	0	0	0	0	0
N8.HOG0000055	OG0000003	n107	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000056	OG0000003	n117	1	2	1	0	0	0	0	0	0	0	0
N8.HOG0000057	OG0000003	n120	1	1	0	0	0	0	0	0	0	0	0
N8.HOG0000058	OG0000003	n121	1	2	0	0	0	0	0	0	0	0	0
N8.HOG0000059	OG0000003	n187	1	1	0	0	0	0	0	0	0	0	0
N8.HOG0000060	OG0000003	n217	3	1	3	0	0	0	0	0	0	0	0
N8.HOG0000061	OG0000003	n223	1	1	1	0	0	0	0	0	0	0	0
N8.HOG0000062	OG0000003	n246	1	1	0	0	0	0	0	0	0	0	0
N8.HOG0000063	OG0000003	n252	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000064	OG0000004	n14	3	4	0	0	0	0	0	0	0	0	0
N8.HOG0000065	OG0000004	n21	1	3	1	0	0	0	0	0	0	0	0
N8.HOG0000066	OG0000004	n25	11	2	6	0	0	0	0	0	0	0	0
N8.HOG0000067	OG0000004	n43	16	1	8	0	0	0	0	0	0	0	0
N8.HOG0000068	OG0000004	n67	0	4	0	0	0	0	0	0	0	0	0
N8.HOG0000069	OG0000004	n70	1	5	0	0	0	0	0	0	0	0	0
N8.HOG0000070	OG0000004	n76	3	1	2	0	0	0	0	0	0	0	0
N8.HOG0000071	OG0000004	n81	7	3	1	0	0	0	0	0	0	0	0
N8.HOG0000072	OG0000004	n93	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000073	OG0000004	n98	1	1	1	0	0	0	0	0	0	0	0
N8.HOG0000074	OG0000004	n101	3	2	1	0	0	0	0	0	0	0	0
N8.HOG0000075	OG0000004	n106	6	1	1	0	0	0	0	0	0	0	0
N8.HOG0000076	OG0000004	n145	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000077	OG0000004	n204	2	1	2	0	0	0	0	0	0	0	0
N8.HOG0000078	OG0000004	n212	3	2	2	0	0	0	0	0	0	0	0
N8.HOG0000079	OG0000004	n251	2	0	0	0	0	0	0	0	0	0	0
N8.HOG0000080	OG0000005	n51	1	1	1	0	0	0	0	0	0	0	0
N8.HOG0000081	OG0000005	n53	1	2	2	0	0	0	0	0	0	0	0
N8.HOG0000082	OG0000005	n57	2	0	2	0	0	0	0	0	0	0	0
N8.HOG0000083	OG0000005	n60	2	9	2	0	0	0	0	0	0	0	0
N8.HOG0000084	OG0000005	n74	1	0	1	0	0	0	0	0	0	0	0
N8.HOG0000085	OG0000005	n89	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000086	OG0000005	n157	0	2	0	0	0	0	0	0	0	0	0
N8.HOG0000087	OG0000005	n161	0	4	0	0	0	0	0	0	0	0	0
N8.HOG0000088	OG0000005	n173	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000089	OG0000005	n182	5	1	3	0	0	0	0	0	0	0	0
N8.HOG0000090	OG0000005	n204	1	0	2	0	0	0	0	0	0	0	0
N8.HOG0000091	OG0000006	n2	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000092	OG0000006	n9	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000093	OG0000006	n15	0	5	0	0	0	0	0	0	0	0	0
N8.HOG0000094	OG0000006	n58	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000095	OG0000006	n61	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000096	OG0000006	n70	0	8	0	0	0	0	0	0	0	0	0
N8.HOG0000097	OG0000006	n100	0	4	0	0	0	0	0	0	0	0	0
N8.HOG0000098	OG0000006	n112	0	3	0	0	0	0	0	0	0	0	0
N8.HOG0000099	OG0000006	n115	0	3	2	0	0	0	0	0	0	0	0
N8.HOG0000100	OG0000006	n119	0	1	6	0	0	0	0	0	0	0	0
N8.HOG0000101	OG0000006	n125	0	1	2	0	0	0	0	0	0	0	0
N8.HOG0000102	OG0000006	n138	3	0	9	0	0	0	0	0	0	0	0
N8.HOG0000103	OG0000006	n152	4	50	0	0	0	0	0	0	0	0	0
N8.HOG0000104	OG0000006	n206	1	1	2	0	0	0	0	0	0	0	0
N8.HOG0000105	OG0000007	n0	0	203	0	0	0	0	0	0	0	0	0
N8.HOG0000106	OG0000008	n14	0	0	1	0	0	0	0	0	0	0	0
N8.HOG0000107	OG0000008	n18	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000108	OG0000008	n19	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000109	OG0000008	n24	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000110	OG0000008	n26	0	2	1	0	0	0	0	0	0	0	0
N8.HOG0000111	OG0000008	n33	1	0	1	0	0	0	0	0	0	0	0
N8.HOG0000112	OG0000008	n49	0	0	1	0	0	0	0	0	0	0	0
N8.HOG0000113	OG0000008	n56	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000114	OG0000008	n57	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000115	OG0000008	n71	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000116	OG0000008	n75	1	1	1	0	0	0	0	0	0	0	0
N8.HOG0000117	OG0000008	n98	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000118	OG0000008	n99	1	2	1	0	0	0	0	0	0	0	0
N8.HOG0000119	OG0000008	n115	1	1	0	0	0	0	0	0	0	0	0
N8.HOG0000120	OG0000008	n129	1	1	0	0	0	0	0	0	0	0	0
N8.HOG0000121	OG0000008	n135	0	2	0	0	0	0	0	0	0	0	0
N8.HOG0000122	OG0000008	n140	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000123	OG0000008	n141	0	1	1	0	0	0	0	0	0	0	0
N8.HOG0000124	OG0000008	n148	1	0	0	0	0	0	0	0	0	0	0
N8.HOG0000125	OG0000008	n153	0	0	1	0	0	0	0	0	0	0	0
N8.HOG0000126	OG0000008	n157	1	1	0	0	0	0	0	0	0	0	0
N8.HOG0000127	OG0000008	n172	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000128	OG0000008	n174	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000129	OG0000008	n179	1	0	1	0	0	0	0	0	0	0	0
N8.HOG0000130	OG0000008	n197	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000131	OG0000008	n198	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000132	OG0000009	n4	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000133	OG0000009	n22	0	1	1	0	0	0	0	0	0	0	0
N8.HOG0000134	OG0000009	n26	1	1	0	0	0	0	0	0	0	0	0
N8.HOG0000135	OG0000009	n42	0	2	0	0	0	0	0	0	0	0	0
N8.HOG0000136	OG0000009	n46	0	2	0	0	0	0	0	0	0	0	0
N8.HOG0000137	OG0000009	n48	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000138	OG0000009	n50	0	2	0	0	0	0	0	0	0	0	0
N8.HOG0000139	OG0000009	n54	1	2	1	0	0	0	0	0	0	0	0
N8.HOG0000140	OG0000009	n64	1	1	1	0	0	0	0	0	0	0	0
N8.HOG0000141	OG0000009	n86	2	0	1	0	0	0	0	0	0	0	0
N8.HOG0000142	OG0000009	n107	1	2	1	0	0	0	0	0	0	0	0
N8.HOG0000143	OG0000009	n114	1	0	1	0	0	0	0	0	0	0	0
N8.HOG0000144	OG0000009	n145	2	1	2	0	0	0	0	0	0	0	0
N8.HOG0000145	OG0000009	n149	1	2	1	0	0	0	0	0	0	0	0
N8.HOG0000146	OG0000009	n157	1	1	1	0	0	0	0	0	0	0	0
N8.HOG0000147	OG0000009	n179	2	1	2	0	0	0	0	0	0	0	0
N8.HOG0000148	OG0000010	n2	1	0	1	0	0	0	0	0	0	0	0
N8.HOG0000149	OG0000010	n13	1	1	1	0	0	0	0	0	0	0	0
N8.HOG0000150	OG0000010	n58	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000151	OG0000010	n60	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000152	OG0000010	n68	0	2	0	0	0	0	0	0	0	0	0
N8.HOG0000153	OG0000010	n71	2	0	2	0	0	0	0	0	0	0	0
N8.HOG0000154	OG0000010	n133	1	2	1	0	0	0	0	0	0	0	0
N8.HOG0000155	OG0000010	n170	1	2	2	0	0	0	0	0	0	0	0
N8.HOG0000156	OG0000010	n188	1	3	0	0	0	0	0	0	0	0	0
N8.HOG0000157	OG0000010	n191	0	3	0	0	0	0	0	0	0	0	0
N8.HOG0000158	OG0000010	n194	0	0	2	0	0	0	0	0	0	0	0
N8.HOG0000159	OG0000011	n14	2	1	2	0	0	0	0	0	0	0	0
N8.HOG0000160	OG0000011	n21	1	2	2	0	0	0	0	0	0	0	0
N8.HOG0000161	OG0000011	n77	1	0	1	0	0	0	0	0	0	0	0
N8.HOG0000162	OG0000011	n87	1	2	1	0	0	0	0	0	0	0	0
N8.HOG0000163	OG0000011	n91	1	1	1	0	0	0	0	0	0	0	0
N8.HOG0000164	OG0000011	n101	1	1	1	0	0	0	0	0	0	0	0
N8.HOG0000165	OG0000011	n113	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000166	OG0000011	n116	1	1	1	0	0	0	0	0	0	0	0
N8.HOG0000167	OG0000011	n126	1	2	1	0	0	0	0	0	0	0	0
N8.HOG0000168	OG0000011	n129	2	5	5	0	0	0	0	0	0	0	0
N8.HOG0000169	OG0000011	n143	1	0	1	0	0	0	0	0	0	0	0
N8.HOG0000170	OG0000011	n156	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000171	OG0000011	n164	1	2	0	0	0	0	0	0	0	0	0
N8.HOG0000172	OG0000012	n0	0	159	0	0	0	0	0	0	0	0	0
N8.HOG0000173	OG0000013	n13	0	1	1	0	0	0	0	0	0	0	0
N8.HOG0000174	OG0000013	n16	1	4	1	0	0	0	0	0	0	0	0
N8.HOG0000175	OG0000013	n40	1	2	0	0	0	0	0	0	0	0	0
N8.HOG0000176	OG0000013	n44	2	0	4	0	0	0	0	0	0	0	0
N8.HOG0000177	OG0000013	n50	1	2	1	0	0	0	0	0	0	0	0
N8.HOG0000178	OG0000013	n86	1	1	1	0	0	0	0	0	0	0	0
N8.HOG0000179	OG0000013	n98	3	0	2	0	0	0	0	0	0	0	0
N8.HOG0000180	OG0000013	n107	1	2	1	0	0	0	0	0	0	0	0
N8.HOG0000181	OG0000013	n113	1	0	1	0	0	0	0	0	0	0	0
N8.HOG0000182	OG0000013	n120	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000183	OG0000013	n131	1	0	0	0	0	0	0	0	0	0	0
N8.HOG0000184	OG0000013	n133	1	1	0	0	0	0	0	0	0	0	0
N8.HOG0000185	OG0000013	n148	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000186	OG0000013	n150	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000187	OG0000014	n9	3	0	1	0	0	0	0	0	0	0	0
N8.HOG0000188	OG0000014	n21	1	2	1	0	0	0	0	0	0	0	0
N8.HOG0000189	OG0000014	n31	1	4	3	0	0	0	0	0	0	0	0
N8.HOG0000190	OG0000014	n40	1	2	1	0	0	0	0	0	0	0	0
N8.HOG0000191	OG0000014	n53	3	1	2	0	0	0	0	0	0	0	0
N8.HOG0000192	OG0000014	n67	2	1	2	0	0	0	0	0	0	0	0
N8.HOG0000193	OG0000014	n71	1	1	1	0	0	0	0	0	0	0	0
N8.HOG0000194	OG0000014	n76	1	0	1	0	0	0	0	0	0	0	0
N8.HOG0000195	OG0000014	n82	0	1	0	0	0	0	0	0	0	0	0
N8.HOG0000196	OG0000014	n89	1	0	0	0	0	0	0	0	0	0	0
N8.HOG0000197	OG0000014	n91	3	2	4	0	0	0	0	0	0	0	0
N8.HOG0000198	OG0000014	n126	0	2	0	0	0	0	0	0	0	0	0
N8.HOG0000199	OG0000014	n138	1	1	0	0	0	0	0	0	0	0	0
N8.HOG0000200	OG0000014	n139	2	1	2	0	0	0	0	0	0	0	0
N8.HOG0000201	OG0000015	n4	0	1	0	0	0	0	0	0	0	0	0
