HOG	Cluster
N8.HOG0000000	1
N8.HOG0000002	1
N8.HOG0000004	1
N8.HOG0000007	1
N8.HOG0000008	1
N8.HOG0000011	1
N8.HOG0000018	1
N8.HOG0000022	1
N8.HOG0000026	1
N8.HOG0000028	1
N8.HOG0000032	1
N8.HOG0000038	1
N8.HOG0000039	1
N8.HOG0000043	1
N8.HOG0000046	1
N8.HOG0000047	1
N8.HOG0000049	1
N8.HOG0000053	1
N8.HOG0000055	1
N8.HOG0000063	1
N8.HOG0000068	1
N8.HOG0000069	1
N8.HOG0000072	1
N8.HOG0000076	1
N8.HOG0000083	1
N8.HOG0000085	1
N8.HOG0000086	1
N8.HOG0000087	1
N8.HOG0000088	1
N8.HOG0000091	1
N8.HOG0000092	1
N8.HOG0000093	1
N8.HOG0000094	1
N8.HOG0000095	1
N8.HOG0000096	1
N8.HOG0000097	1
N8.HOG0000098	1
N8.HOG0000103	1
N8.HOG0000105	1
N8.HOG0000107	1
N8.HOG0000108	1
N8.HOG0000109	1
N8.HOG0000113	1
N8.HOG0000114	1
N8.HOG0000115	1
N8.HOG0000117	1
N8.HOG0000121	1
N8.HOG0000122	1
N8.HOG0000127	1
N8.HOG0000128	1
N8.HOG0000130	1
N8.HOG0000131	1
N8.HOG0000132	1
N8.HOG0000135	1
N8.HOG0000136	1
N8.HOG0000137	1
N8.HOG0000138	1
N8.HOG0000150	1
N8.HOG0000151	1
N8.HOG0000152	1
N8.HOG0000156	1
N8.HOG0000157	1
N8.HOG0000165	1
N8.HOG0000170	1
N8.HOG0000172	1
N8.HOG0000174	1
N8.HOG0000182	1
N8.HOG0000185	1
N8.HOG0000186	1
N8.HOG0000195	1
N8.HOG0000198	1
N8.HOG0000201	1
N8.HOG0000202	1
N8.HOG0000203	1
N8.HOG0000204	1
N8.HOG0000205	1
N8.HOG0000207	1
N8.HOG0000209	1
N8.HOG0000210	1
N8.HOG0000214	1
N8.HOG0000215	1
N8.HOG0000216	1
N8.HOG0000217	1
N8.HOG0000218	1
N8.HOG0000219	1
N8.HOG0000221	1
N8.HOG0000222	1
N8.HOG0000223	1
N8.HOG0000227	1
N8.HOG0000228	1
N8.HOG0000229	1
N8.HOG0000233	1
N8.HOG0000235	1
N8.HOG0000236	1
N8.HOG0000237	1
N8.HOG0000238	1
N8.HOG0000241	1
N8.HOG0000242	1
N8.HOG0000243	1
N8.HOG0000244	1
N8.HOG0000246	1
N8.HOG0000248	1
N8.HOG0000251	1
N8.HOG0000253	1
N8.HOG0000255	1
N8.HOG0000256	1
N8.HOG0000257	1
N8.HOG0000258	1
N8.HOG0000260	1
N8.HOG0000263	1
N8.HOG0000264	1
